type,region,denomination,wine_name,menu_name,company,vine,year,reseller,price,sciolze_vinery,tastuma_vinery,service_temp,fridge_temp,fridge_type
Bianchi e Rosè,Piemonte,Vino Bianco,Elianta,Elianta,Giro di Vite,Malvasia Moscata,2021,Giro di Vite,18,0,1,,,
Bianchi e Rosè,Piemonte,Vino Bianco,Baratuciat,Baratuciat,Juli,Baratuciat,s.a.,Eataly  ,30,6,7,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Roero  DOCG,Roero Arneis,Roero Arneis,Valfaccenda ,Arneis,2020,Tastuma Tut,22,0,3,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Roero  DOCG,Roero Arneis Riserva Loreto,Roero Arneis Riserva Loreto,Valfaccenda ,Arneis,2018,Tastuma Tut,31,0,3,10-12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Vino Bianco,Moscato secco Evien,Moscato secco Evien,Ressia,Moscato   ,2019,Ressia,18,0,2,10-12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Langhe DOC,Langhe Nascetta,Langhe Nascetta,Cascina Ballarin,Nascetta,2018,Tastuma Tut,18,0,0,6-8°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Langhe Nascetta DOC,Langhe Nascetta Borea,Langhe Nascetta Borea,Azienda Agricola Rivetto,Nascetta,2018,VinGlu,27,0,5,6-8°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Monferrato Bianco DOC,Carialoso,Carialoso,Marenco,Caricalasino,2020,Marenco,22,5,4,6-8°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Colli Tortonesi DOC,Munta l'è Ruma,Derthona Munta l'è Ruma,Boveri Giacomo,Timorasso,2018,Darvin ,25,0,5,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Colli Tortonesi DOC,Lacrime del Bricco,Derthona Le Lacrima del Bricco,Boveri Giacomo,Timorasso,2018,Darvin ,29,0,4,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Colli Tortonesi DOC,Derthona Mandirola,Derthona Mandirola,Mandirola Vini,Timorasso,2021,Mandirola Vini,24,6,4,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Colli Tortonesi DOC,Tantei,Derthona Tantei,Mandirola Vini,Timorasso,2020,Mandirola Vini,32,6,6,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Colli Tortonesi DOC,Derthona,Derthona Ricci,Azienda Agricola Ricci,Timorasso,2018,VinGlu,27,0,7,6-8°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Colli Tortonesi DOC,San Leto,San Leto,Azienda Agricola Ricci,Timorasso,2018,VinGlu,34,0,5,6-8°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Vino Bianco,Il Giallo di Costa,Il Giallo di Costa,Azienda Agricola Ricci,Timorasso,2018,VinGlu,38,4,3,6-8°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Vino Bianco,Io Cammino da Solo,Io Cammino da Solo,Azienda Agricola Ricci,Timorasso,2017,VinGlu,45,0,4,6-8°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Colli Tortonesi DOC,Derthona,Derthona Vigneti Massa,Vigneti Massa,Timorasso,2018,Proposta Vini,27,0,9,6-8°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Colli Tortonesi DOC,Derthona,Derthona Daglio,Daglio Giovanni,Timorasso,2019,Storie di Vite,22,0,1,6-8°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Colli Tortonesi DOC,Derthona Cantico,Derthona Cantico,Daglio Giovanni,Timorasso,2018,Storie di Vite,25,0,3,6-8°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Vino Bianco,Baccabianca,Baccabianca,Cascina Grillo,Cortese,2012,VinGlu,33,0,6,6-8°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Trentino Alto Adige,Alto Adige DOC,Cros del Mont,Gewurztraminer Cros del Mont,Pravis,Gewurztraminer  ,2021,Proposta Vini,20,0,3,7-9°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Trentino Alto Adige,Alto Adige DOC,Pinot Bianco,Pinot Bianco,Erste + Neue,Pinot Bianco,2019,Tastuma Tut,18,0,1,7-9°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Trentino Alto Adige,Pinot Bianco DOC,Pinot Bianco,Vial Pinot Bianco,Kellerei Kaltern,Pinot Bianco,2021,Kellerei Kaltern,20,0,14,,,
Bianchi e Rosè,Trentino Alto Adige,Kerner DOC,Carned Kerner,Carned Kerner,Kellerei Kaltern,Kerner,2021,Kellerei Kaltern,21,3,7,,,
Bianchi e Rosè,Friulia Venezia Giullia ,Collio DOC ,Sauvignon ,Sauvignon ,Doro Princic,Sauvignon ,2019,Cuzziol ,26,0,3,10-12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Friulia Venezia Giullia ,Collio DOC ,Ribolla Gialla Et. Blu ,Ribolla Gialla Et. Blu ,Doro Princic,Ribolla Gialla ,2020,Cuzziol ,28,0,3,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Friulia Venezia Giullia ,Venezia Gulia IGT,Vitovska ,Vitovska ,Skerk ,Vitovska,2018,Proposta Vini ,40,0,7,10-12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Friulia Venezia Giullia ,Malvasia DOC Collio,Malvasia DOC Collio,Malvasia DOC Collio,I Clivi,Malvasia Istriana,2019,Tastuma Tut,24,0,7,10-12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Friulia Venezia Giullia ,Bianco Galea,Clivi Galea,Clivi Galea,I Clivi,Friulano e Verduzzo,2016,Tastuma Tut,28,0,5,10-12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Marche,Verdichio di Matelica DOC ,Verdicchio di Matelica ,Verdichio di Matelica ,Collestefano ,verdicchio,2019,Darvin ,18,3,3,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Umbria,Spoleto DOC,Trebbiano Spolentino,Spoleto,Raina,Trebbiano Spoletino,2019,Vininversi,20,0,11,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Abruzzo,Colline Pescaresi IGT,Pecorino,Pecorino,Bosco ,Pecorino,2021,Bosco,19,6,6,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Campania,Cliento DOP,Fiano Kratos,Fiano Kratos,Luigi Maffini,Fiano,2019,Tastuma Tut,23,0,0,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Campania,Cliento DOP,Fiano Pietraincatenata,Fiano Pietraincatenata,Luigi Maffini,Fiano,2017,Tastuma Tut,33,0,7,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Campania,Asprinio di Aversa DOC,Fescine,Asprinio di Aversa Fescine,Caputo 1890,Asprinio di Aversa,2021,Caputo1890,19,2,5,10-14°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Sicilia,Terre Siciliane IGT,Grillo Blues,Grillo Blues,Paolo Calì,Grillo,2019,Tastuma Tut,18,0,2,10-12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Sicilia,Etna Bianco DOC,Salisire - Contrada Martinella,Etna Bianco Salisire,Vivera,Carricante,2016,Tastuma Tut,25,4,4,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Sicilia,Etna Bianco DOC,Etna Bianco Ginestra ,Etna Bianco Ginestra ,Calcagno,Carricante,2019,Darvin ,26,0,6,10-12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Sicilia,Sicilia DOC ,Zibibbo secco,Zibibbo secco,Tenuta Orestiadi,Zibibbo,2021,Tenuta Orestiadi,17,0,6,12-14°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Sardegna,Vermentino di Gallura Superiore DOCG,Vermentino Tanca Raina ,Vermentino di Gallura Superiore Tanca Raina ,Tanca Raina,Vermentino ,2020,Proposta Vini,25,0,7,10-12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Sardegna,Vermentino di Gallura Superiore DOCG,Vermentino di Gallura Superiore Fria ,Vermentino di Gallura Superiore Fria ,Deperu Holler,Vermentino ,2019,Tastuma Tut,22,0,4,10-12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Sardegna,Isola dei Nuraghi Bianco IGT ,Prama Dorada,Isola dei Nuraghi Bianco Dorada,Deperu Holler,"Vermentino, Moscato e Malvasia ",2018,Tastuma Tut,30,9,7,12-14°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Francia - Borgogna ,Bourgogne AOC ,Bourgogne Blanc Cote d'Or ,Bourgogne Blanc Cote d'Or ,Domaine Michelot,Chardonnay ,2019,Darvin ,32,0,0,12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Francia - Loira ,Sancerre AOC,Sancerre Cote de Marloup ,Sancerre Cote de Marloup,Domaine Fleuriet,Sauvignon ,2016,Darvin ,43,0,9,12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Francia - Jura,Arbois AOC,Chardonnay Vielles Vignes,Arbois Chardonnay Vielles Vignes,Domaine Amelie Guillot,Chardonnay,2019,Pretzhof,32,0,0,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Germania - Mosella,Riesling Spatlese,Spatlese Apotheke,Riesling Spatlese Apotheke,Ansgar Clüsserath,Riesling,2017,Pretzhof,34,0,1,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Langhe Rosato DOC,Carpe Vinum Rosato,Carpe Vinum Rosato,Ressia,Dolcetto,2021,Ressia,22,6,7,10-12°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Piemonte,Monferrato Chiaretto DOC,Edenrose,Edenrose,Tenuta Tenaglia,70% Barbera e 30% Grignolno,2020,Tenuta Tenaglia,18,3,5,8-10°,8°,Bianchi e Rosè 8°
Bianchi e Rosè,Sicilia,Etna Rosato DOC,Etna Rosato Martinella,Etna Rosato Martinella,Vivera,Nerello Mascalese,2019,Tastuma Tut ,22,0,2,10-12°,8°,Bianchi e Rosè 8°
Rossi,Piemonte,Dolcetto d’Alba DOC,Dolcetto d' Alba Pilade,Dolcetto d' Alba Pilade,Cascina Ballarin,Dolcetto,2019,Tastuma Tut ,18,3,5,16-18°,16°,Rossi 16°
Rossi,Piemonte,Dolcetto d’Alba DOC,Dolcetto d' Alba Patrone,Dolcetto d' Alba Patrone,Azienda Agricola Patrone Elena,Dolcetto,2021,Azienda Agricola Patrone Elena,19,0,3,16-18°,16°,Rossi 16°
Rossi,Piemonte,Dolcetto d’Alba DOC,Dolcetto d' Alba Pian Balbo,Dolcetto d' Alba Pian Balbo,Poderi Colla,Dolcetto,2021,Tastuma Tut,19,0,2,16-18°,16°,Rossi 16°
Rossi,Piemonte,Gignolino d'Asti doc,Testabalorda,Gignolino d'Asti Testabalorda,Aresca Vini,Grignolino,2021,Aresca Vini,18,0,6,13-14°,16°,Rossi 16°
Rossi,Piemonte,Gignolino d'Asti doc,Isolavilla,Gignolino d'Asti Isolavilla,Olim Bauda,Grignolino,2019,Enoteca Regionale di Nizza,18,0,7,13-14°,16°,Rossi 16°
Rossi,Piemonte,Grignolino del Monferrato Casalese DOC,Grignolino del Monferrato Casalese,Grignolino del Monferrato Casalese,Tenuta Tenaglia,Grignolno,2021,Tenuta Tenaglia,18,0,6,8-10°,8°,Rossi 8°
Rossi,Piemonte,Grignolino del Monferrato Casalese DOC,Monferace,Monferace,Tenuta Tenaglia,Grignolno,2016,Tenuta Tenaglia,35,0,6,8-10°,8°,Rossi 8°
Rossi,Piemonte,Freisa delle Langhe Doc,Brusaia,Freisa delle Langhe Brusaia,Beppe Marino,Freisa,2019,Beppe Marino,18,3,9,18°,18°,Rossi 18°
Rossi,Piemonte,Vino Rosso ,La Rina ,La Rina ,Juli,Slarina,s.a.,Eataly,23,0,4,16-18°,16°,Rossi 16°
Rossi,Piemonte,Pelaverga di Verduno DOC,Pelaverga Verduno,Pelaverga di Verduno Scarpa,Antica Casa Vinicola Scarpa,Pelaverga,2021,Antica Casa Vinicola Scarpa,22,0,1,16-18°,16°,Rossi 16°
Rossi,Piemonte,Valsusa DOC,Avanà Finiere ,Avanà Finiere,La Chimera,Avana,2020,Proposta Vini,24,3,6,16°,16°,Rossi 16°
Rossi,Piemonte,Valsusa DOC,Avanà Clarea,Avanà Clarea,Clarea,Avana,2021,Clarea,18,0,1,16°,16°,Rossi 16°
Rossi,Piemonte,Valsusa DOC,Becuet Clarea,Becuet Clarea,Clarea,Becuet,2021,Clarea,18,0,0,16°,16°,Rossi 16°
Rossi,Piemonte,Valsusa DOC,Valsusa Barbera,Valsusa Barbera,Clarea,Barbera,2019,Clarea,18,4,0,16°,16°,Rossi 16°
Rossi,Piemonte,Ruchè di Castagnole Monferrato DOCG,San Pietro Realto,Ruchè San Pietro Realto,Bersano,Ruchè,2020,Bersano Vini,22,0,1,16-18°,16°,Rossi 16°
Rossi,Piemonte,Ruchè di Castagnole Monferrato DOCG,Ruchè La Cascinetta,Ruchè La Cascinetta,La Casinetta ssa,Ruchè,2019,La Cascinetta ssa,22,12,7,16-18°,16°,Rossi 16°
Rossi,Piemonte,Ruchè di Castagnole Monferrato DOCG,Ruchè La Cascinetta Riserva,Ruchè La Cascinetta Riserva,La Casinetta ssa,Ruchè,2016,La Cascinetta ssa,29,0,6,16-18°,16°,Rossi 16°
Rossi,Piemonte,Monferrato Rosso DOC,Rouchet,Rouchet,Antica Casa Vinicola Scarpa,Ruchè,2017,Antica Casa Vinicola Scarpa,28,0,6,16°,16°,Rossi 16°
Rossi,Piemonte,Piemonte DOC Albarossa,Albarossa,Albarossa,Marenco,Albarossa,2018,Marenco,26,3,6,16°,16°,Rossi 16°
Rossi,Piemonte,Pinerolese DOC,Scarpentà,Scarpentà,Giro di Vite,Barbera,2020,Giro di Vite,18,0,1,,,
Rossi,Piemonte,Pinerolese DOC,Ramie,Arcansiel,Giro di Vite,"Bequet, Chatus, Avanà e Barbera",2020,Giro di Vite,30,0,1,,,
Rossi,Piemonte,Barbera d’Alba DOC,Pilade,Barbera d’Alba Pilade,Cascina Ballarin,Barbera,2018,Tastuma Tut ,18,12,6,16-18°,16°,Rossi 16°
Rossi,Piemonte,Barbera d’Alba DOC,Barbera d'Alba Costa Bruna,Barbera d'Alba Costa Bruna,Poderi Colla,Barbera,2020,Tastuma Tut,19,0,13,16-18°,16°,Rossi 16°
Rossi,Piemonte,Barbera d'Asti DOCG,Barbera d'Asti 5 Vigne,Barbera d'Asti 5 Vigne,La Morandina,Barbera,2020,Tastuma Tut ,18,12,8,16°,16°,Rossi 16°
Rossi,Piemonte,Barbera d'Asti DOCG,Barbera d'Asti Casascarpa,Barbera d'Asti Casascarpa,Antica Casa Vinicola Scarpa,Barbera,2018,Antica Casa Vinicola Scarpa,18,0,6,16°,16°,Rossi 16°
Rossi,Piemonte,Barbera d'Asti DOCG,Barbera d'Asti Bricchi,Barbera d'Asti Bricchi,Antica Casa Vinicola Scarpa,Barbera,2017,Antica Casa Vinicola Scarpa,30,0,6,16°,16°,Rossi 16°
Rossi,Piemonte,Barbera d'Asti DOCG,Barbera d'Asti Tenaglia,Barbera d'Asti Tenaglia,Tenuta Tenaglia,Barbera,2018,Tenuta Tenaglia,22,9,5,8-10°,8°,Rossi 8°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,La Rossa,Barbera d'Asti Superiore La Rossa,Aresca Vini,Barbera,2020,Aresca Vini,18,0,25,13-14°,16°,Rossi 16°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,Blincin,Barbera d'Asti Superiore Blincin,Bocchino,Barbera,2017,Bocchino Annalisa,20,6,6,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,Caranti,Barbera d'Asti Superiore Caranti,Cascina Garitina,Barbera,2019,Cascina Garitina,18,0,8,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,La Cremosina,Barbera d'Asti Superiore Cremosina,Bersano,Barbera,2018,Bersano Vini,18,0,11,16-18°,16°,Rossi 16°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,Le Rocchette,Barbera d'Asti Superiore Rocchette,Olim Bauda,Barbera,2017,Enoteca Regionale di Nizza,22,0,7,16-18°,16°,Rossi 16°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,Momparone,Barbera d'Asti Superiore Momparone,Beppe Marino,Barbera,2018,Beppe Marino,20,6,6,18°,18°,Rossi 18°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,Varmat,Barbera d'Asti Superiore Varmat,La Morandina,Barbera,2016,Tastuma Tut ,30,6,8,18-20°,18°,Rossi 18°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,La Bogliona,La Bogliona,Antica Casa Vinicola Scarpa,Barbera,2009,Antica Casa Vinicola Scarpa,55,2,3,16°,16°,Rossi 16°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,La Bogliona,La Bogliona,Antica Casa Vinicola Scarpa,Barbera,2010,Antica Casa Vinicola Scarpa,55,2,0,16°,16°,Rossi 16°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,La Bogliona,La Bogliona,Antica Casa Vinicola Scarpa,Barbera,2012,Antica Casa Vinicola Scarpa,55,2,0,16°,16°,Rossi 16°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,La Bogliona,La Bogliona,Antica Casa Vinicola Scarpa,Barbera,2014,Antica Casa Vinicola Scarpa,42,3,0,16°,16°,Rossi 16°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,La Bogliona,La Bogliona,Antica Casa Vinicola Scarpa,Barbera,2015,Antica Casa Vinicola Scarpa,42,0,2,16°,16°,Rossi 16°
Rossi,Piemonte,Barbera d'Asti Superiore DOCG,La Bogliona,La Bogliona,Antica Casa Vinicola Scarpa,Barbera,2016,Antica Casa Vinicola Scarpa,42,3,0,16°,16°,Rossi 16°
Rossi,Piemonte,Nizza DOCG,San Luigi,Nizza San Luigi,Aresca Vini,Barbera,2018,Aresca Vini,25,6,4,13-14°,16°,Rossi 16°
Rossi,Piemonte,Nizza DOCG,Due Lù,Nizza Due Lù,Bocchino,Barbera,2017,Bocchino Annalisa,25,8,6,18°,18°,Rossi 18°
Rossi,Piemonte,Nizza DOCG,Gavelli,Nizza Gavelli,Garesio ssa,Barbera,2018,Garesio ssa,25,0,2,18-20°,18°,Rossi 18°
Rossi,Piemonte,Nizza DOCG,Le Nicchie,Nizza Le Nicchie,La Gironda,Barbera,2017,Enoteca Regionale di Nizza,26,0,10,18-20°,18°,Rossi 18°
Rossi,Piemonte,Nizza DOCG,Ru,Nizza Ru,Erede di Chiappone Armando,Barbera,2013,Enoteca Regionale di Nizza,27,0,7,18-20°,18°,Rossi 18°
Rossi,Piemonte,Nizza DOCG,CEC,Nizza CEC,Cascina Garitina,Barbera,2017,Cascina Garitina,31,0,8,18-20°,18°,Rossi 18°
Rossi,Piemonte,Nizza DOCG,La Generala,Nizza La Generala,Bersano,Barbera,2016,Bersano Vini,28,0,10,16-18°,16°,Rossi 16°
Rossi,Piemonte,Nizza DOCG,Vigna Dacapo,Nizza Vigna Dacapo,Dacapo,Barbera,2016,Enoteca Regionale di Nizza,29,0,8,18°,18°,Rossi 18°
Rossi,Piemonte,Nizza DOCG,Quattrofilari,Nizza Quattrofilari,Beppe Marino,Barbera,2017,Beppe Marino,29,0,3,18°,18°,Rossi 18°
Rossi,Piemonte,Nizza DOCG,Nizza Riserva,Nizza Riserva,Olim Bauda,Barbera,2017,Enoteca Regionale di Nizza,33,0,5,18-20°,18°,Rossi 18°
Rossi,Piemonte,Nizza DOCG,Aresca Riserva,Nizza Aresca Riserva,Aresca Vini,Barbera,2016,Aresca Vini,33,0,5,13-14°,16°,Rossi 16°
Rossi,Piemonte,Roero DOCG,Valfaccenda Rosso,Roero Valfaccenda Rosso,Valfaccenda,Nebbiolo,2018,Tastuma Tut ,29,0,3,16-18°,16°,Rossi 16°
Rossi,Piemonte,Langhe DOC,Bricco del Drago,Bricco del Drago,Poderi Colla,85% Dolcetto e 15% Nebbiolo,2018,Tastuma Tut,25,0,12,16-18°,16°,Rossi 16°
Rossi,Piemonte,Nebbiolo d'Alba DOC,Nebbiolo d'Alba Drago,Nebbiolo d'Alba Drago,Poderi Colla,Nebbiolo,2018,Tastuma Tut,22,0,4,16-18°,16°,Rossi 16°
Rossi,Piemonte,Langhe Nebbiolo DOC,Langhe Nebbiolo,Langhe Nebbiolo Ballarin,Cascina Ballarin,Nebbiolo,2018,Tastuma Tut ,22,12,6,16-18°,16°,Rossi 16°
Rossi,Piemonte,Nebbiolo d'Alba DOC,Nebbiolo d'Alba,Nebbiolo d'Alba Fenochio,Giacomo Fenocchio,Nebbiolo,2020,Darvin ,22,0,1,16-18°,16°,Rossi 16°
Rossi,Piemonte,Nebbiolo d'Alba DOC,Nebbiolo d'Alba,Nebbiolo d'Alba Rocca,Albino Rocca,Nebbiolo,2018,Tastuma Tut ,23,12,6,16-18°,16°,Rossi 16°
Rossi,Piemonte,Langhe Nebbiolo DOC,Gepù,Langhe Nebbiolo Gepù,Ressia ,Nebbiolo,2018,Ressia,25,6,5,18°,18°,Rossi 18°
Rossi,Piemonte,Langhe Nebbiolo DOC,Langhe Nebbiolo Patrone,Langhe Nebbiolo Patrone,Azienda Agricola Patrone Elena,Nebbiolo,2021,Azienda Agricola Patrone Elena,22,0,3,18°,18°,Rossi 18°
Rossi,Piemonte,Gattinara DOCG,Gattinara Riserva ,Gattinara Riserva,Cantina Sociale di Gattinara ,Nebbiolo,2010,Proposta Vini ,35,0,5,18-20°,18°,Rossi 18°
